id,slug,name,category,tagline,tags,neighborhood,address,city,country,lat,lng,maps_url,website,phone,url,logo_url,hero_url,image_credit,image_source_url,hours_raw,description,about_short,about_long,price_range,pricing,amenities,cuisines,meals,rating_overall,sub_food_quality,sub_service,sub_ambience,sub_value,sub_accessibility,review_count,review_source,review_insight,last_updated,curriculum,grades,gender_policy,tuition_range,admissions_contact,application_deadline,transport_available,accreditation,languages,year_founded,grades_offered,language_of_instruction,coed,boarding,transport,admissions_url,apply_url,tuition_currency,tuition_min,tuition_max
ChIJgUqOUEr7jT4R9vMMZJ_wduU,a-soud-global-school-al-seeb-muscat,"A'soud Global School, Al Seeb, Muscat",Schools,,school;education,,"شارع العاديات, Sib, Oman",Muscat,Oman,23.673848,58.192810,https://www.google.com/maps/place/?q=place_id:ChIJgUqOUEr7jT4R9vMMZJ_wduU,http://agsmuscat.com/,+968 24 423952,http://agsmuscat.com/,https://www.google.com/s2/favicons?domain=agsmuscat.com&sz=128,https://www.omanobserver.om/omanobserver/uploads/images/2025/04/02/2969730.jpeg,,,,,,,,,,,,4.10,,,,,,9,Google,,2025-10-04,,,,,,,,,,,,,,,,,,,,
ChIJDQAusSD_kT4RXGfMm43aUvk,aba-oman-international-school,ABA Oman International School,Schools,,school;education,,"99 St, Muscat, Oman",Muscat,Oman,23.577990,58.304829,https://www.google.com/maps/place/?q=place_id:ChIJDQAusSD_kT4RXGfMm43aUvk,http://www.abaoman.org/,+968 24 955800,http://www.abaoman.org/,https://www.google.com/s2/favicons?domain=www.abaoman.org&sz=128,https://www.omanobserver.om/omanobserver/uploads/images/2024/06/25/2701550.jpg,,,,,"Leading, quality International Baccalaureate school in Muscat Oman offering global education for boys and girls from kindergarten to Grade 12.","Leading, quality International Baccalaureate school in Muscat Oman offering global education for boys and girls from kindergarten to Grade 12. In a world where business, education, sports and the arts transcend borders, a child with global citizenship is better equipped to achieve success in every aspect of their life. At ABA, your child will enjoy unparalleled opportunities to grasp their dreams, whatever their nationality and wherever in the world they choose to live, or go on to further education.",,,,,,,,,,,,,,,2025-10-04,IB,,,,,,,,,,Elementary;Grade 12;High School;Kindergarten;Middle,English,Boys,,,https://www.abaoman.org/admissions,,,,
ChIJ8WGh_3b_kT4Rp6gxjRr3yls,abq-azzan-bin-qais-international-school-mq-campus,ABQ Azzan bin Qais International School MQ Campus - مدرسة عزان بن قيس العالمية,Schools,,school;education,,"HCMW+QCM, Muscat 115, Oman",Muscat,Oman,23.584456,58.446047,https://www.google.com/maps/place/?q=place_id:ChIJ8WGh_3b_kT4Rp6gxjRr3yls,https://abq.edu.om/azzan-bin-qais-international-school/,+968 24 210299,https://abq.edu.om/azzan-bin-qais-international-school/,https://www.google.com/s2/favicons?domain=abq.edu.om&sz=128,https://fra1.digitaloceanspaces.com/abq.edu.om/wp-content/uploads/2022/08/20143257/Group-2.png,,,,,"Welcome to ABQ Azzan Bin Qais International School, a beacon of educational excellence nestled in the heart of Muscat, Oman.","Welcome to ABQ Azzan Bin Qais International School, a beacon of educational excellence nestled in the heart of Muscat, Oman. Pre-KG to Grade 12, Cambridge International School in Madinat Sultan Qaboos, Muscat, offering Cambridge and GED Programmes",,,,,,,,,,,,,,,2025-10-04,Cambridge,,,,,,,,,,Grade 11;Grade 12;Grade 8;KG;Primary;Secondary,Arabic;English,,,,https://www.abq.edu.om/azzan-bin-qais-international-school/admissions/,,,,
ChIJ51aoDwABjj4RnaZtPI-L0ms,abq-explorer-muscat-hills,ABQ Explorer Muscat Hills,Schools,,school;education,,"H7FX+659، Makoba Passage، Muscat, Oman",Muscat,Oman,23.574705,58.300868,https://www.google.com/maps/place/?q=place_id:ChIJ51aoDwABjj4RnaZtPI-L0ms,https://www.abq.edu.om/abq-explorer/schools/abq-explorer-muscat-hills/,+968 9826 2599,https://www.abq.edu.om/abq-explorer/schools/abq-explorer-muscat-hills/,https://www.google.com/s2/favicons?domain=www.abq.edu.om&sz=128,https://fra1.digitaloceanspaces.com/abq.edu.om/wp-content/uploads/2024/02/14044252/Pre-KG-Muscat-Hills-info-page-2024-25-updated-page-001-scaled-e1707887514311-300x199.jpg,,,,,,"Pre-KG to Grade 12, Cambridge International School in Madinat Sultan Qaboos, Muscat, offering Cambridge and GED Programmes",,,,,,5.00,,,,,,1,Google,,2025-10-04,Cambridge;Omani,,,,,,,,,,Grade 12;Grade 8;KG;Primary,,,,,,,OMR,OMR,
ChIJXy54z7H8jT4RWgAOlIEgU-k,abq-seeb-international-school,ABQ Seeb International School,Schools,,school;education,,"Al Khoudh St, Sib, Oman",Muscat,Oman,23.643926,58.197166,https://www.google.com/maps/place/?q=place_id:ChIJXy54z7H8jT4RWgAOlIEgU-k,https://abq.edu.om/seeb-international-school/,+968 24 284888,https://abq.edu.om/seeb-international-school/,https://www.google.com/s2/favicons?domain=abq.edu.om&sz=128,https://fra1.digitaloceanspaces.com/abq.edu.om/wp-content/uploads/2022/08/20143136/Seeb-300x87.png,,,,,"At ABQ Seeb International School, we pride ourselves on having a school where staff and students feel safe, have a sense of belonging, are treated with respect and have the right to learn and…","At ABQ Seeb International School, we pride ourselves on having a school where staff and students feel safe, have a sense of belonging, are treated with respect and have the right to learn and flourish. Pre-KG to Grade 12, Cambridge International School in Madinat Sultan Qaboos, Muscat, offering Cambridge and GED Programmes",,,,,,,,,,,,,,,2025-10-04,Cambridge,,,,,,,,,,Grade 11;Grade 12;Grade 8;KG;Primary;Secondary,Arabic;English,,,,https://www.abq.edu.om/seeb-international-school/admissions/,,,,
ChIJBzzNJAD_kT4RNVxXq0knhZM,al-ibdaa-kingdom-nursery,AL IBDAA KINGDOM NURSERY حضانة مملكة الإبداع,Schools,,school;education,,"H9HW+5XF, Muscat, Oman",Muscat,Oman,23.577363,58.397362,https://www.google.com/maps/place/?q=place_id:ChIJBzzNJAD_kT4RNVxXq0knhZM,https://www.google.com/maps/place/?q=place_id:ChIJBzzNJAD_kT4RNVxXq0knhZM,+968 7222 2011,https://www.google.com/maps/place/?q=place_id:ChIJBzzNJAD_kT4RNVxXq0knhZM,https://www.google.com/s2/favicons?domain=www.google.com&sz=128,https://lh3.googleusercontent.com/p/AF1QipOoZiq-uP4B4GZHppyWtFifxEXstui7hylVmx2o=w900-h900-p-k-no,,,,,★★★★★ · Nursery school,★★★★★ · Nursery school,,,,,,5.00,,,,,,11,Google,,2025-10-04,,,,,,,,,,,,,,,,,,,,
ChIJ7WBilAQAjj4R0OxSlge8J-U,abjad-private-school,Abjad Private School مدرسة أبجد الخاصة,Schools,,school;education,,"4851 Way, Muscat, Oman",Muscat,Oman,23.599392,58.364634,https://www.google.com/maps/place/?q=place_id:ChIJ7WBilAQAjj4R0OxSlge8J-U,https://share.google/QNzfEU6v1fO0YCFcU,+968 24 496909,https://share.google/QNzfEU6v1fO0YCFcU,https://www.google.com/s2/favicons?domain=share.google&sz=128,https://www.omanobserver.om/omanobserver/uploads/images/2025/03/18/2958648.jpg,,,,,,,,,,,,,,,,,,,,,2025-10-04,,,,,,,,,,,,,,,,,,,,
ChIJBSuSddsBjj4ReXpuSTcfkLY,ahl-al-quran-school,Ahl Al Quran School مدرسة أهل القرآن,Schools,,school;education,,"H927+863, Muscat, Oman",Muscat,Oman,23.550767,58.363057,https://www.google.com/maps/place/?q=place_id:ChIJBSuSddsBjj4ReXpuSTcfkLY,https://www.google.com/maps/place/?q=place_id:ChIJBSuSddsBjj4ReXpuSTcfkLY,,https://www.google.com/maps/place/?q=place_id:ChIJBSuSddsBjj4ReXpuSTcfkLY,https://www.google.com/s2/favicons?domain=www.google.com&sz=128,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npFBjwKzix8hQmqzYkuABZjRy0Y3t0rsK-EzDV4PiEJ9EN0qAUnaFI8x2hi4fg3zKzt0tpIIPmCCASPBUmWd9Gh0_dFaBeyZ9-puRhDe41VvhYGR5wCtzXfV2Sk-W_3w5kKxJbLbw=w900-h900-p-k-no,,,,,Religious school,Religious school,,,,,,,,,,,,,,,2025-10-04,,,,,,,,,,,,,,,,,,,,
ChIJo7nvMMgBjj4REnTv9Hf2Zws,al-burj-private-school,Al Burj Private School مدرسة البرج الخاصة,Schools,,school;education,,"Way 4823, مسقط، Oman",Muscat,Oman,23.599608,58.361025,https://www.google.com/maps/place/?q=place_id:ChIJo7nvMMgBjj4REnTv9Hf2Zws,https://www.google.com/maps/place/?q=place_id:ChIJo7nvMMgBjj4REnTv9Hf2Zws,+968 9392 2993,https://www.google.com/maps/place/?q=place_id:ChIJo7nvMMgBjj4REnTv9Hf2Zws,https://www.google.com/s2/favicons?domain=www.google.com&sz=128,https://lh3.googleusercontent.com/p/AF1QipNrGZVS1lK5NjngpXToB0pX7oDj0KElJUGdlVer=w900-h900-p-k-no,,,,,Elementary school,Elementary school,,,,,,,,,,,,,,,2025-10-04,,,,,,,,,,,,,,,,,,,,
ChIJjai2aFf-kT4RWNV7Y04Wqmo,al-hikma-private-school-bousher,Al Hikma Private School Bousher مدرسة الحكمة الخاصة - بوشر,Schools,,school;education,,"HC87+R96, Al Maha St, Muscat, Oman",Muscat,Oman,23.567045,58.413389,https://www.google.com/maps/place/?q=place_id:ChIJjai2aFf-kT4RWNV7Y04Wqmo,https://www.google.com/maps/place/?q=place_id:ChIJjai2aFf-kT4RWNV7Y04Wqmo,+968 9275 9438,https://www.google.com/maps/place/?q=place_id:ChIJjai2aFf-kT4RWNV7Y04Wqmo,https://www.google.com/s2/favicons?domain=www.google.com&sz=128,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nraRVO6pPWlAvLrkXqK9nhwzvQPiapevpORL9PBJmgicyo_OXUpC4pEyH-YD34XU34mnymczycA6HsmjpDNCvNISeDADT_GkMmhYg1-GovVAcEFFfG46JsnpJjeGAbXrXb9SFK6Ww=w900-h900-p-k-no,,,,,★★★☆☆ · Private educational institution,★★★☆☆ · Private educational institution,,,,,,3.00,,,,,,2,Google,,2025-10-04,,,,,,,,,,,,,,,,,,,,
